// 2022/05/02 23:10:35
// ReaderName=impinj-14-5a-9f, AntennaIDs=1,2,3,4, InventoryMode=DualTarget, ModeIndex=1002, Population=32, PowerInDbm=20, Session=2
// Timestamp, EPC, TID, Antenna, RSSI, Frequency, Hostname, PhaseAngle, DopplerFrequency
2022-05-02T23:12:57.3101650+09:00,300833B2DDD9014000000000,,1,-58,916.8,impinj-14-5a-9f,,
2022-05-02T23:12:57.4127490+09:00,300833B2DDD9014000000000,,1,-58.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:12:57.4463290+09:00,300833B2DDD9014000000000,,1,-58,916.8,impinj-14-5a-9f,,
2022-05-02T23:12:57.5660440+09:00,300833B2DDD9014000000000,,1,-57.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:12:57.6013920+09:00,300833B2DDD9014000000000,,1,-58,916.8,impinj-14-5a-9f,,
2022-05-02T23:12:57.6835300+09:00,300833B2DDD9014000000000,,4,-58,916.8,impinj-14-5a-9f,,
2022-05-02T23:12:57.7213390+09:00,300833B2DDD9014000000000,,4,-57,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:00.5490050+09:00,300833B2DDD9014000000000,,1,-57,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:00.5528020+09:00,300833B2DDD9014000000000,,1,-59,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:00.6839030+09:00,300833B2DDD9014000000000,,1,-56.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:00.7178750+09:00,300833B2DDD9014000000000,,1,-56,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:00.8452030+09:00,300833B2DDD9014000000000,,1,-54.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:00.8765290+09:00,300833B2DDD9014000000000,,1,-54,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:00.9971970+09:00,300833B2DDD9014000000000,,1,-53.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:01.0315190+09:00,300833B2DDD9014000000000,,1,-53.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:01.1510130+09:00,300833B2DDD9014000000000,,1,-53,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:01.1939340+09:00,300833B2DDD9014000000000,,1,-53,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:01.3185170+09:00,300833B2DDD9014000000000,,1,-53.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:01.3525270+09:00,300833B2DDD9014000000000,,1,-54,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:01.4762460+09:00,300833B2DDD9014000000000,,1,-55.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:01.5086240+09:00,300833B2DDD9014000000000,,1,-56,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:01.6265820+09:00,300833B2DDD9014000000000,,1,-56.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:01.6704980+09:00,300833B2DDD9014000000000,,1,-57,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:01.7844420+09:00,300833B2DDD9014000000000,,1,-57.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:01.8206240+09:00,300833B2DDD9014000000000,,1,-57.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:01.9462340+09:00,300833B2DDD9014000000000,,1,-57.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:01.9794080+09:00,300833B2DDD9014000000000,,1,-58,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:02.1000280+09:00,300833B2DDD9014000000000,,1,-58.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:02.1364650+09:00,300833B2DDD9014000000000,,1,-59,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:02.3658010+09:00,300833B2DDD9014000000000,,4,-58.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:02.3999290+09:00,300833B2DDD9014000000000,,4,-57.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:02.4969950+09:00,300833B2DDD9014000000000,,4,-57,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:02.5290580+09:00,300833B2DDD9014000000000,,4,-56.5,916.8,impinj-14-5a-9f,,
2022-05-02T23:13:02.6510980+09:00,300833B2DDD9014000000000,,4,-55.5,916.8,impinj-14-5a-9f,,
