// 2022/05/03 0:35:46
// ReaderName=impinj-14-5a-9f, AntennaIDs=1,2,3,4, InventoryMode=DualTarget, ModeIndex=1002, Population=32, PowerInDbm=20, Session=2
// Timestamp, EPC, TID, Antenna, RSSI, Frequency, Hostname, PhaseAngle, DopplerFrequency
2022-05-03T00:38:10.0864620+09:00,300833B2DDD9014000000000,,4,-60.5,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:10.1090130+09:00,300833B2DDD9014000000000,,4,-60,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:10.2379260+09:00,300833B2DDD9014000000000,,4,-59,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:10.2673560+09:00,300833B2DDD9014000000000,,4,-59,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:10.3968100+09:00,300833B2DDD9014000000000,,4,-59.5,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:10.4273780+09:00,300833B2DDD9014000000000,,4,-59,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:10.5550310+09:00,300833B2DDD9014000000000,,4,-59.5,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:10.5982660+09:00,300833B2DDD9014000000000,,4,-60.5,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:11.1978190+09:00,300833B2DDD9014000000000,,4,-60.5,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:11.2330350+09:00,300833B2DDD9014000000000,,4,-60,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:11.3614160+09:00,300833B2DDD9014000000000,,4,-59.5,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:11.3943370+09:00,300833B2DDD9014000000000,,4,-60,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:11.5252140+09:00,300833B2DDD9014000000000,,4,-58.5,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:11.5585590+09:00,300833B2DDD9014000000000,,4,-58,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:11.6831050+09:00,300833B2DDD9014000000000,,4,-56.5,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:11.7178120+09:00,300833B2DDD9014000000000,,4,-55.5,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:11.8478960+09:00,300833B2DDD9014000000000,,4,-55,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:11.8780990+09:00,300833B2DDD9014000000000,,4,-54.5,916.8,impinj-14-5a-9f,,
2022-05-03T00:38:12.0047680+09:00,300833B2DDD9014000000000,,4,-54,916.8,impinj-14-5a-9f,,
